timestamp,corrected_timestamp
8369253716,8369253716
8369416213,8369416213
8369428713,8369428713
8369453713,8369453713
8369466213,8369466213
8369491212,8369491212
8369516212,8369516212
8369528712,8369528712
8369553711,8369553711
8369566211,8369566211
8369578711,8369578711
8369591211,8369591211
8369603711,8369603711
8369616210,8369616210
8369641210,8369641210
8369653710,8369653710
8369666210,8369666210
8369678709,8369678709
8369691209,8369691209
8369703709,8369703709
8369716209,8369716209
8369741209,8369741209
8369766208,8369766208
8369778708,8369778708
8369791208,8369791208
8369803708,8369803708
8369828707,8369828707
8369841207,8369841207
8369866207,8369866207
8369878706,8369878706
8369891206,8369891206
8369903706,8369903706
8369916206,8369916206
8369928706,8369928706
8369941206,8369941206
8369953705,8369953705
8369966205,8369966205
8369978705,8369978705
8369991205,8369991205
8370003705,8370003705
8370016204,8370016204
8370028704,8370028704
8370041204,8370041204
8370053704,8370053704
8370066204,8370066204
8370091203,8370091203
8370103703,8370103703
8370128703,8370128703
8370141203,8370141203
8370153702,8370153702
8370166202,8370166202
8370178702,8370178702
8370191202,8370191202
8370203702,8370203702
8370216201,8370216201
8370228701,8370228701
8370241201,8370241201
8370253701,8370253701
8370266201,8370266201
8370291200,8370291200
8370303700,8370303700
8370316200,8370316200
8370328700,8370328700
8370341200,8370341200
8370353699,8370353699
8370366199,8370366199
8370378699,8370378699
8370391199,8370391199
8370403699,8370403699
8370416198,8370416198
8370428698,8370428698
8370441198,8370441198
8370453698,8370453698
8370466198,8370466198
8370491197,8370491197
8370516197,8370516197
8370528697,8370528697
8370553696,8370553696
8370578696,8370578696
8370603696,8370603696
8370628695,8370628695
8370653695,8370653695
8370678695,8370678695
8370691194,8370691194
8370716194,8370716194
8370728694,8370728694
8370753693,8370753693
8370766193,8370766193
8370791193,8370791193
8370803693,8370803693
8370828692,8370828692
8370841192,8370841192
8370853692,8370853692
8370866192,8370866192
8370891191,8370891191
8370903691,8370903691
8370916191,8370916191
8370928691,8370928691
8370953690,8370953690
8370966190,8370966190
8370991190,8370991190
8371003690,8371003690
8371028689,8371028689
8371041189,8371041189
8371053689,8371053689
8371078689,8371078689
8371103688,8371103688
8371116188,8371116188
8371128688,8371128688
8371141188,8371141188
8371153687,8371153687
8371166187,8371166187
8371191187,8371191187
8371216187,8371216187
8371228686,8371228686
8371253686,8371253686
8371278686,8371278686
8371303685,8371303685
8371316185,8371316185
8371328685,8371328685
8371341185,8371341185
8371353684,8371353684
8371366184,8371366184
8371378684,8371378684
8371403684,8371403684
8371416184,8371416184
8371428683,8371428683
8371453683,8371453683
8371466183,8371466183
8371491182,8371491182
8371503682,8371503682
8371516182,8371516182
8371528682,8371528682
8371541182,8371541182
8371553681,8371553681
8371566181,8371566181
8371578681,8371578681
8371591181,8371591181
8371603681,8371603681
8371616181,8371616181
8371628680,8371628680
8371641180,8371641180
8371653680,8371653680
8371666180,8371666180
8371691179,8371691179
8371703679,8371703679
8371716179,8371716179
8371728679,8371728679
8371741179,8371741179
8371753678,8371753678
8371766178,8371766178
8371791178,8371791178
8371803678,8371803678
8371828677,8371828677
8371841177,8371841177
8371866177,8371866177
8371891176,8371891176
8371903676,8371903676
8371928676,8371928676
8371941176,8371941176
8371953676,8371953676
8371978675,8371978675
8372003675,8372003675
8372028674,8372028674
8372041174,8372041174
8372053674,8372053674
8372066174,8372066174
8372078674,8372078674
8372091173,8372091173
8372103673,8372103673
8372116173,8372116173
8372128673,8372128673
8372141173,8372141173
8372153673,8372153673
8372166172,8372166172
8372178672,8372178672
8372191172,8372191172
8372203672,8372203672
8372216172,8372216172
8372228671,8372228671
8372241171,8372241171
8372253671,8372253671
8372266171,8372266171
8372278671,8372278671
8372291170,8372291170
8372303670,8372303670
8372316170,8372316170
8372328670,8372328670
8372341170,8372341170
8372353670,8372353670
8372366169,8372366169
8372378669,8372378669
8372391169,8372391169
8372403669,8372403669
8372416169,8372416169
8372428668,8372428668
8372441168,8372441168
8372453668,8372453668
8372466168,8372466168
8372478668,8372478668
8372491167,8372491167
8372503667,8372503667
8372516167,8372516167
8372528667,8372528667
8372541167,8372541167
8372553667,8372553667
8372566166,8372566166
8372578666,8372578666
8372591166,8372591166
8372603666,8372603666
8372616166,8372616166
8372628665,8372628665
8372641165,8372641165
8372653665,8372653665
8372666165,8372666165
8372678665,8372678665
8372691164,8372691164
8372703664,8372703664
8372716164,8372716164
8372728664,8372728664
8372741164,8372741164
8372753664,8372753664
8372766163,8372766163
8372778663,8372778663
8372791163,8372791163
8372803663,8372803663
8372816163,8372816163
8372828662,8372828662
8372841162,8372841162
8372853662,8372853662
8372866162,8372866162
8372878662,8372878662
8372903661,8372903661
8372916161,8372916161
8372928661,8372928661
8372941161,8372941161
8372953661,8372953661
8372966160,8372966160
8372978660,8372978660
8372991160,8372991160
8373003660,8373003660
8373016160,8373016160
8373028659,8373028659
8373041159,8373041159
8373066159,8373066159
8373078659,8373078659
8373091159,8373091159
8373116158,8373116158
8373141158,8373141158
8373166157,8373166157
8373191157,8373191157
8373203657,8373203657
8373216157,8373216157
8373228656,8373228656
8373241156,8373241156
8373253656,8373253656
8373266156,8373266156
8373278656,8373278656
8373303655,8373303655
8373316155,8373316155
8373328655,8373328655
8373341155,8373341155
8373353655,8373353655
8373366154,8373366154
8373378654,8373378654
8373391154,8373391154
8373403654,8373403654
8373416154,8373416154
8373428653,8373428653
8373441153,8373441153
8373453653,8373453653
8373466153,8373466153
8373478653,8373478653
8373491153,8373491153
8373516152,8373516152
8373528652,8373528652
8373541152,8373541152
8373566151,8373566151
8373591151,8373591151
8373603651,8373603651
8373628650,8373628650
8373641150,8373641150
8373653650,8373653650
8373678650,8373678650
8373691150,8373691150
8373703649,8373703649
8373716149,8373716149
8373741149,8373741149
8373753649,8373753649
8373766148,8373766148
8373778648,8373778648
8373803648,8373803648
8373828648,8373828648
8373841147,8373841147
8373866147,8373866147
8373891147,8373891147
8373903646,8373903646
8373928646,8373928646
8373941146,8373941146
8373953646,8373953646
8373978645,8373978645
8373991145,8373991145
8374003645,8374003645
8374028645,8374028645
8374053644,8374053644
8374078644,8374078644
8374103643,8374103643
